Course Name,Job Mapping 1,Job Mapping 2
MANUFACTURING TECHNIQUES,Supply Chain Analyst,Operations Manager
MACHINE TOOLS AND PROCESSES,Data Scientist,Quantitative Analyst
MACHINE DRAWING AND GDT,Full Stack Developer,Digital Marketing Specialist
MACHINE DRAWING,Healthcare Data Analyst,Pharmaceutical Scientist
LAB VIEW PROGRAMMING,Full Stack Developer,Digital Marketing Specialist
JAVA PROGRAMMING,Project Manager,Database Administrator
INTRODUCTION TO LINUX,Construction Manager,Urban Planner
INDUSTRIAL FLUID POWER,Industrial Engineer,Production Manager
GREEN CHEMISTRY,DevOps Engineer,Cloud Architect
GEOMETRIC MODELLING,Quality Assurance Engineer,Compliance Officer
DESIGN OF MECHANICAL SYSTEMS,Cybersecurity Specialist,Network Engineer
DATA WAREHOUSING AND DATA MINING,Network Engineer,Technical Writer
DATA ACQUISITION SYSTEMS,Data Scientist,Quantitative Analyst
CYBER SECURITY AND FORENSIC TOOLS,AI Specialist,Bioinformatics Scientist
COST AND ACCOUNTING,Data Engineer,DevOps Engineer
COMPUTER ORIENTED NUMERICAL METHODS,Marketing Manager,HR Manager
COMPUTATIONAL METHODS IN MECHANICAL ENGINEERING,Environmental Consultant,Healthcare Data Analyst
CHEMICAL ENGINEERING MATHEMATICS,Database Administrator,Cybersecurity Specialist
BUSINESS COMMUNICATION THROUGH EFFECTIVE PRESENTATION,Mathematics Tutor,Software Developer
APPLIED ELECTROMECHANICS FOR ROBOTICS,Systems Architect,Project Manager
ANALYTICAL CHEMISTRY,SEO Analyst,Marketing Manager
ANALYSIS OF MACHINE ELEMENTS,Research Scientist,Lab Technician
AEROBICS,Machine Learning Engineer,Software Engineer
ADVANCED PROJECT MANAGEMENT,Machine Learning Engineer,Software Engineer
MATERIAL SCIENCE AND METALLURGY,Environmental Consultant,Healthcare Data Analyst
BIOENGINEERING,Healthcare Data Analyst,Pharmaceutical Scientist
PROJECT STAGE  II,Chemical Engineer,Materials Scientist
COMPUTER GRAPHICS AND MULTIMEDIA,SEO Analyst,Marketing Manager
HIGH PERFORMANCE NETWORKS,HR Manager,Supply Chain Analyst
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING PROJECT,Automation Specialist,Web Developer
INTERNET OF THINGS PROJECT,Product Manager,Robotics Engineer
MACHINE LEARNING PROJECT,Technical Writer,Business Analyst
CYBER SECURITY PROJECT,DevOps Engineer,Cloud Architect
PROJECT WORK,Healthcare Data Analyst,Pharmaceutical Scientist
SOFTWARE DEVELOPMENT PROJECT - IV,Embedded Systems Engineer,Machine Learning Engineer
PROJECT MANAGEMENT AND ENTREPRENEURSHIP DEVELOPMENT,Civil Engineer,Construction Manager
ROBOTICS & AUTOMATION PROJECT,Quantitative Analyst,Financial Analyst
ADDITIVE MANUFACTURING PROJECT,Business Analyst,Product Manager
FORMING TECHNOLOGIES & TOOL DESIGN,Operations Manager,Quality Assurance Engineer
ENGINEERING APPLICATIONS OF DATA SCIENCE PROJECT,SEO Analyst,Marketing Manager
MACHINE LEARNING AND DEEP LEARNING,Industrial Engineer,Production Manager
PROJECT BASED ON HONOUR COURSE(AI),DevOps Engineer,Cloud Architect
ADVANCED DATA STRUCTURE,Data Engineer,DevOps Engineer
ENGINEERING DESIGN AND DEVELOPMENT 1,HR Manager,Supply Chain Analyst
COMMUNICATION FOUNDATIONS,UX Designer,UI Developer
INTERPERSONAL COMMUNICATION,Digital Marketing Specialist,SEO Analyst
COMPUTER SCIENCE PRINCIPLES: DIGITAL INFORMATION,Product Manager,Robotics Engineer
DEVELOPING YOUR EMOTIONAL INTELLIGENCE,Embedded Systems Engineer,Machine Learning Engineer
COMMUNICATING WITH CONFIDENCE,Data Engineer,DevOps Engineer
THINKING CREATIVELY,Financial Analyst,Mathematics Tutor
PREPARING FOR SUCCESSFUL COMMUNICATION,Process Engineer,Industrial Engineer
CRITICAL THINKING,Chemical Engineer,Materials Scientist
WRITING A PROPOSAL,Legal Researcher,Patent Analyst
LEARNING DATA ANALYTICS,Supply Chain Analyst,Operations Manager
PROBLEM SOLVING TECHNIQUES,Materials Scientist,Process Engineer
DIGITAL MEDIA FOUNDATIONS,Process Engineer,Industrial Engineer
CYBERSECURITY AT WORK,Mathematics Tutor,Software Developer
DESIGN THINKING - DATA INTELLIGENCE,Data Engineer,DevOps Engineer
DISCOVERING YOUR STRENGTHS,Quality Assurance Engineer,Compliance Officer
"DATA MANAGEMENT, PROTECTION AND GOVERNANCE",DevOps Engineer,Cloud Architect
ENTERPRISE RESOURCE PLANNING SYSTEMS,Civil Engineer,Construction Manager
SERVICES MANAGEMENT,UI Developer,Full Stack Developer
CAPSTONE PROJECT,Software Engineer,Research Scientist
CAPSTONE PROJECT-INTERNATIONAL,Database Administrator,Cybersecurity Specialist
DESIGN THINKING 2,Product Manager,Robotics Engineer
INDIAN DEMOCRACY AND CONSTITUTION,Full Stack Developer,Digital Marketing Specialist
ENGINEERING DESIGN AND INNOVATION 2,Compliance Officer,Regulatory Affairs Specialist
INDUSTRIAL TRIBOLOGY,Operations Manager,Quality Assurance Engineer
GENETIC ALGORITHMS,Legal Researcher,Patent Analyst
DESIGN THINKING - 3,Research Scientist,Lab Technician
CHEMICAL PROCESSES,Bioinformatics Scientist,Biostatistician
DESIGN THINKING - 1,Robotics Engineer,Automation Specialist
ENGINEERING DESIGN & INNOVATION - V,Cloud Architect,AI Specialist
Operating System,Database Administrator,Cybersecurity Specialist
Computer Networks,Software Developer,Embedded Systems Engineer
Artificial Intelligence ,Automation Specialist,Web Developer
Statistical Inference,Process Engineer,Industrial Engineer
Machine Learning,Quality Assurance Engineer,Compliance Officer
DESIGN THINKING,Product Manager,Robotics Engineer
CASTING AND JOINING TECHNOLOGIES,Project Manager,Database Administrator
Magic XPA/XPI,Civil Engineer,Construction Manager
Neural Networks,Regulatory Affairs Specialist,Legal Researcher
HUMAN FACTORS ENGINEERING,Network Engineer,Technical Writer
From Campus to Corporate,Materials Scientist,Process Engineer
MATHEMATICS AND STATISTICS,Quantitative Analyst,Financial Analyst
PRODUCT DESIGN AND DEVELOPMENT,Software Engineer,Research Scientist
GENERAL PROFICIENCY,Patent Analyst,Mechanical Engineer
PROFESSIONAL DEVELOPMENT,Project Manager,Database Administrator
DESIGN THINKING - 4,Patent Analyst,Mechanical Engineer
DESIGN THINKING - 2,Compliance Officer,Regulatory Affairs Specialist
ENGINEERING DESIGN AND INNOVATION - 2,DevOps Engineer,Cloud Architect
FORMING TECHNOLOGIES AND TOOL DESIGN,Energy Analyst,Chemical Engineer
 Cloud Computing,Marketing Manager,HR Manager
Deep learning,Compliance Officer,Regulatory Affairs Specialist
Complexity Algorithms,Environmental Consultant,Healthcare Data Analyst
Software Design and Methodologies,Regulatory Affairs Specialist,Legal Researcher
Design Thinking,Environmental Consultant,Healthcare Data Analyst
Industry Internship,SEO Analyst,Marketing Manager
BLOCKCHAIN TECHNOLOGY,Robotics Engineer,Automation Specialist
PROBABILITY AND CALCULUS,Energy Analyst,Chemical Engineer
SIGNALS AND SYSTEMS,Business Analyst,Product Manager
NETWORK THEORY,UX Designer,UI Developer
DESIGN THINKING - 5,Digital Marketing Specialist,SEO Analyst
ENGINEERING DESIGN AND INNOVATION - 3,Chemical Engineer,Materials Scientist
DESIGN THINKING - 6,Quality Assurance Engineer,Compliance Officer
ENGINEERING DESIGN AND INNOVATION - 4,Healthcare Data Analyst,Pharmaceutical Scientist
SOFTWARE DESIGN AND MODELING,Lab Technician,Systems Architect
MICROPROCESSOR AND MICROCONTROLLER,Quantitative Analyst,Financial Analyst
COMPUTER GRAPHICS AND VIRTUAL REALITY,Database Administrator,Cybersecurity Specialist
DIGITAL ELECTRONICS AND MICROPROCESSOR,Civil Engineer,Construction Manager
SENSORS AND TRANSDUCERS,Civil Engineer,Construction Manager
COMPUTER NETWORK SECURITY,Energy Analyst,Chemical Engineer
INDUSTRIAL ELECTRONICS-II,Automation Specialist,Web Developer
MACHINE INTELLIGENCE-II,Financial Analyst,Mathematics Tutor
CLOUD COMPUTING-II,Urban Planner,Energy Analyst
NETWORK SECURITY-II,Mathematics Tutor,Software Developer
COMPUTATIONAL FLUID DYNAMICS-II,HR Manager,Supply Chain Analyst
DATA VISUALIAZATION,Supply Chain Analyst,Operations Manager
MATHEMATICS FOR AI,Regulatory Affairs Specialist,Legal Researcher
GENERATIVE AI AND IT'S APPLICATIONS,Chemical Engineer,Materials Scientist
DATA VISUALIZATION AND STORY TELLING,Quality Assurance Engineer,Compliance Officer
SIMPLE STATISTICS FOR UX PROJECTS,Robotics Engineer,Automation Specialist
TRANSPORT PROCESSES,Bioinformatics Scientist,Biostatistician
MODERN DIGITAL COMMUNICATION TECHNIQUESS,Business Analyst,Product Manager
APPLIED ELECTROMAGNETICS FOR ENGINEERS,Compliance Officer,Regulatory Affairs Specialist
CYBER SECURITY AND PRIVACY,Software Developer,Embedded Systems Engineer
REINFORCEMENT LEARNING,Industrial Engineer,Production Manager
SUSTAINABLE POWER GENERATION SYSTEMS,Research Scientist,Lab Technician
RAPID MANUFACTURING,Biostatistician,Environmental Consultant
INTRODUCTION TO COMPOSITES,Pharmaceutical Scientist,UX Designer
 OPERATIONS AND SUPPLY CHAIN MANAGEMENT ,AI Specialist,Bioinformatics Scientist
AUTOMATION IN PRODUCTION SYSTEMS AND MANAGEMENT,Operations Manager,Quality Assurance Engineer
INTRODUCTION TO MACHINE LEARNING,Quality Assurance Engineer,Compliance Officer
DEEP LEARNING ,Machine Learning Engineer,Software Engineer
DATA MODELING AND FORECASTING WITH STRATA,Compliance Officer,Regulatory Affairs Specialist
ENTREPRENEURSHIP DEVELOPMENT,Embedded Systems Engineer,Machine Learning Engineer
Network Security,Machine Learning Engineer,Software Engineer
Augmented reality and virtual reality,Web Developer,Data Engineer
BIOMEDICAL TECHNOLOGY,Civil Engineer,Construction Manager
INDIAN KNOWLEDGE SYSTEM,Project Manager,Database Administrator
UNIVERSAL HUMAN VALUES,Automation Specialist,Web Developer
DATA ANALYSIS,Digital Marketing Specialist,SEO Analyst
SENSORS AND APPLICATIONS,Civil Engineer,Construction Manager
ELEMENTS OF MECHANICAL ENGINEERING,Industrial Engineer,Production Manager
AUTOCAD 2024,UX Designer,UI Developer
PROBABILITY AND QUEUING THEORY,Civil Engineer,Construction Manager
ENGINEERING ECONOMICS,Financial Analyst,Mathematics Tutor
COSTING AND COST CONTROL,Research Scientist,Lab Technician
RESEARCH METHODOLOGY,Automation Specialist,Web Developer
OPERARTING SYSTEMS,Research Scientist,Lab Technician
DATA VISUALIZATION,Web Developer,Data Engineer
MODERN COMPUTER VISION,Research Scientist,Lab Technician
HUMAN MACHINE INTERACTION,Quality Assurance Engineer,Compliance Officer
SOCIAL SERVICE,Lab Technician,Systems Architect
COMPUTATIONAL TECHNIQUES IN CHEMICAL ENGINEERING,Project Manager,Database Administrator
INTRODUCTION TO CHEMICAL ENGINEERING,Data Engineer,DevOps Engineer
INDUSTRIAL AUTOMATION AND CONTROL,HR Manager,Supply Chain Analyst
BIOMEDICAL SIGNAL PROCESSING,Process Engineer,Industrial Engineer
Business Intelligence and Analytics,Network Engineer,Technical Writer
MODELLING AND ANALYTICS FOR SUPPLY CHAIN MANAGEMENT,Software Engineer,Research Scientist
COMPUTATIONAL FLUID DYNAMICS FOR INCOMPRESSIBLE FLOWS,Machine Learning Engineer,Software Engineer
DYNAMICS AND CONTROL OF MECHANICAL SYSTEMS,Financial Analyst,Mathematics Tutor
Python Programming and Applications,AI Specialist,Bioinformatics Scientist
Foundation of Cryptography,Civil Engineer,Construction Manager
Reality Spectra,Software Engineer,Research Scientist
FROM CAMPUS TO CORPORATE,Data Engineer,DevOps Engineer
DEIGN OF HEAT EXCHANGE DEVICE,Software Developer,Embedded Systems Engineer
FOUNDATION OF AWS CLOUD,Robotics Engineer,Automation Specialist
"DESIGN, MANUFACTURING AND QUALITY CONTROL",Operations Manager,Quality Assurance Engineer
GOLANG FOR CONCURRENT PROGRAMMING,Embedded Systems Engineer,Machine Learning Engineer
DESIGN AND SIMULATION,Cloud Architect,AI Specialist
DESIGN PATTERNS IN PROGRAMMING,Network Engineer,Technical Writer
DATA INTELLIGENCE,Energy Analyst,Chemical Engineer
DRAFTING AND MODELLING,Civil Engineer,Construction Manager
GETTING STARTED WITH PYTHON,Urban Planner,Energy Analyst
PROGRAMMING IN PYTHON,Compliance Officer,Regulatory Affairs Specialist
USER INTERFACE DESIGN,Research Scientist,Lab Technician
INDIAN KNOWLEDGE SYSTEMS,Mechanical Engineer,Electrical Engineer
FUNDAMENTALS OF PROGRAMMING,Automation Specialist,Web Developer
CRITICAL THINKING AND PROBLEM SOLVING,Civil Engineer,Construction Manager
ARTIFICIAL NEURAL NETWORKS,Operations Manager,Quality Assurance Engineer
IBM Full Stack Software Developer,Lab Technician,Systems Architect
Meta Back-End Developer,UX Designer,UI Developer
IBM Back-End Developer,Robotics Engineer,Automation Specialist
Microsoft Power BI Data Analyst,Supply Chain Analyst,Operations Manager
Tableau Business Intelligence Analyst,AI Specialist,Bioinformatics Scientist
IBM Cybersecurity Analyst,Quantitative Analyst,Financial Analyst
Microsoft Cybersecurity Analyst,Business Analyst,Product Manager
Google Cybersecurity,Construction Manager,Urban Planner
Google Data Analytics,Network Engineer,Technical Writer
IBM Data Analyst,Financial Analyst,Mathematics Tutor
IBM Data Engineering,Pharmaceutical Scientist,UX Designer
Meta Database Engineer,Embedded Systems Engineer,Machine Learning Engineer
IBM Data Science,Pharmaceutical Scientist,UX Designer
Fractal Data Science,Construction Manager,Urban Planner
IBM Data Warehouse Engineer,Web Developer,Data Engineer
IBM DevOps and Software Engineering,Compliance Officer,Regulatory Affairs Specialist
Google Digital Marketing and E-Commerce,Project Manager,Database Administrator
Meta Front-End Developer,Technical Writer,Business Analyst
IBM Front-End Developer,Operations Manager,Quality Assurance Engineer
Google IT Support,Financial Analyst,Mathematics Tutor
IBM Mainframe Developer,Automation Specialist,Web Developer
Akamai Network Engineering,Full Stack Developer,Digital Marketing Specialist
Google Project Management,Quality Assurance Engineer,Compliance Officer
Salesforce Sales Development Representative,Cybersecurity Specialist,Network Engineer
AWS Cloud Technology Consultant,Marketing Manager,HR Manager
Google UX Design,Lab Technician,Systems Architect
TRANSDUCERS AND SIGNAL CONDITIONING,Product Manager,Robotics Engineer
VLSI Design Flow: RTL to GDS,Electrical Engineer,Civil Engineer
APPLIED COMPUTATIONAL FLUID DYNAMICS,SEO Analyst,Marketing Manager
MICROFLUIDICS AND NANOFLUIDICS,SEO Analyst,Marketing Manager
ENERGY CONSERVATION AND WASTE HEAT RECOVERY,Digital Marketing Specialist,SEO Analyst
WORK SYSTEM DESIGN,Business Analyst,Product Manager
INDUSTRIAL POLLUTION CONTROL,Pharmaceutical Scientist,UX Designer
REASONING AND APTITUDE DEVELOPMENT,Software Developer,Embedded Systems Engineer
BASICS OF GAME DEVELOPMENT,UX Designer,UI Developer
DATA ENGINEERING,Research Scientist,Lab Technician
MAINFRAME TECHNOLOGIES,Systems Architect,Project Manager
DESIGN THINKING - 7,Quantitative Analyst,Financial Analyst
AI/ML CREDIT PROGRAM,Software Engineer,Research Scientist
Coursera,Mathematics Tutor,Software Developer
